,"(deg F) Max Temperature (gridMET) at Lands, 2006-12-01 to 2021-09-30"
"2015-05-29",89.5111
"2015-05-30",92.6101
"2015-05-31",84.5974
"2015-06-01",82.4014
"2015-06-02",81.2556
"2015-06-03",76.73
"2015-06-04",74.5522
"2015-06-05",81.5338
"2015-06-06",84.7602
"2015-06-07",92.8114
"2015-06-08",101.7158
"2015-06-09",77.5256
"2015-06-10",86.1154
"2015-06-11",89.2031
"2015-06-12",98.0155
"2015-06-13",97.0767
"2015-06-14",93.2425
"2015-06-15",90.8146
"2015-06-16",93.7929
"2015-06-17",97.601
"2015-06-18",93.0943
"2015-06-19",93.2333
"2015-06-20",97.5634
"2015-06-21",90.4849
"2015-06-22",91.4853
"2015-06-23",91.944
"2015-06-24",91.92
"2015-06-25",98.8025
"2015-06-26",97.8658
"2015-06-27",89.9989
"2015-06-28",92.5563
"2015-06-29",96.3802
"2015-06-30",103.5603
"2015-07-01",96.6177
"2015-07-02",94.0503
"2015-07-03",97.0095
"2015-07-04",95.3758
"2015-07-05",87.6555
"2015-07-06",86.3785
"2015-07-07",86.7366
"2015-07-08",82.5377
"2015-07-09",78.6609
"2015-07-10",80.6929
"2015-07-11",85.4604
"2015-07-12",86.6928
"2015-07-13",90.3207
"2015-07-14",86.7502
"2015-07-15",87.3723
"2015-07-16",91.3829
"2015-07-17",91.8743
"2015-07-18",88.4975
"2015-07-19",78.6211
"2015-07-20",89.3988
"2015-07-21",91.371
"2015-07-22",87.0874
"2015-07-23",85.4209
"2015-07-24",91.432
"2015-07-25",90.5612
"2015-07-26",88.4521
"2015-07-27",92.6735
"2015-07-28",97.6037
"2015-07-29",100.4725
"2015-07-30",98.4216
"2015-07-31",95.6215
"2015-08-01",94.6819
"2015-08-02",92.761
"2015-08-03",88.2405
"2015-08-04",76.5891
"2015-08-05",85.905
"2015-08-06",80.9182
"2015-08-07",84.2677
"2015-08-08",88.0558
"2015-08-09",91.1161
"2015-08-10",85.6067
"2015-08-11",88.1317
"2015-08-12",88.6757
"2015-08-13",91.4101
"2015-08-14",90.9759
"2015-08-15",99.9532
"2015-08-16",104.9342
"2015-08-17",102.1183
"2015-08-18",94.4231
"2015-08-19",93.9954
"2015-08-20",88.4352
"2015-08-21",88.9221
"2015-08-22",89.2591
"2015-08-23",90.536
"2015-08-24",95.3771
"2015-08-25",98.2008
"2015-08-26",98.5303
"2015-08-27",100.5175
"2015-08-28",99.9585
"2015-08-29",92.0453
"2015-08-30",83.8171
"2015-08-31",90.0428
"2015-09-01",87.5539
"2015-09-02",82.1763
"2015-09-03",80.2953
"2015-09-04",76.9181
"2015-09-05",83.5369
"2015-09-06",89.5104
"2015-09-07",94.6942
"2015-09-08",99.3769
"2015-09-09",103.9474
"2015-09-10",104.1521
"2015-09-11",100.557
"2015-09-12",88.0623
"2015-09-13",92.4091
"2015-09-14",77.5684
"2015-09-15",75.506
"2015-09-16",76.9876
"2015-09-17",77.9479
"2015-09-18",88.3956
"2015-09-19",95.4844
"2015-09-20",101.3922
"2015-09-21",100.5667
"2015-09-22",88.0079
"2015-09-23",92.0966
"2015-09-24",98.035
"2015-09-25",96.894
"2015-09-26",92.718
"2015-09-27",86.4493
"2015-09-28",80.7422
"2015-09-29",75.5854
"2015-09-30",76.1362
"2015-10-01",76.1439
"2015-10-02",79.1618
"2015-10-03",86.4993
"2015-10-04",74.5633
"2015-10-05",78.7948
"2015-10-06",81.1801
"2015-10-07",89.5021
"2015-10-08",93.7549
"2015-10-09",95.5114
"2015-10-10",93.7062
"2015-10-11",92.8476
"2015-10-12",97.8066
"2015-10-13",96.2127
"2015-10-14",90.9034
"2015-10-15",82.3129
"2015-10-16",84.7504
"2015-10-17",75.1602
"2015-10-18",73.1034
"2015-10-19",71.0586
"2015-10-20",77.3379
"2015-10-21",82.7638
"2015-10-22",82.5341
"2015-10-23",82.2987
"2015-10-24",84.2558
"2015-10-25",80.5003
"2015-10-26",86.2542
"2015-10-27",79.8813
"2015-10-28",74.4892
"2015-10-29",72.1443
"2015-10-30",79.7041
"2015-10-31",88.718
"2015-11-01",78.1182
"2015-11-02",56.8535
"2015-11-03",61.7137
"2015-11-04",61.0005
"2015-11-05",67.1184
"2015-11-06",70.3468
"2015-11-07",73.5769
"2015-11-08",69.8729
"2015-11-09",53.5284
"2015-11-10",54.1654
"2015-11-11",65.0511
"2015-11-12",64.7929
"2015-11-13",74.4105
"2015-11-14",74.9314
"2015-11-15",51.606
"2015-11-16",55.722
"2015-11-17",62.9784
"2015-11-18",67.7696
"2015-11-19",72.8645
"2015-11-20",74.6105
"2015-11-21",78.4794
"2015-11-22",80.1806
"2015-11-23",69.6342
"2015-11-24",56.6227
"2015-11-25",50.293
"2015-11-26",52.7009
"2015-11-27",56.1906
"2015-11-28",57.5026
"2015-11-29",59.8597
"2015-11-30",59.9787
"2015-12-01",64.4297
"2015-12-02",69.6114
"2015-12-03",68.8424
"2015-12-04",59.3211
"2015-12-05",61.8849
"2015-12-06",70.4586
"2015-12-07",70.817
"2015-12-08",66.3064
"2015-12-09",70.7034
"2015-12-10",59.2961
"2015-12-11",54.3423
"2015-12-12",55.5879
"2015-12-13",53.5892
"2015-12-14",49.3398
"2015-12-15",50.5184
"2015-12-16",59.4786
"2015-12-17",62.5289
"2015-12-18",62.2067
"2015-12-19",53.1383
"2015-12-20",56.1416
"2015-12-21",57.522
"2015-12-22",59.2551
"2015-12-23",53.3759
"2015-12-24",47.2248
"2015-12-25",48.8935
"2015-12-26",53.3017
"2015-12-27",51.4398
"2015-12-28",45.149
"2015-12-29",53.1282
"2015-12-30",57.5857
"2015-12-31",51.3063
"2016-01-01",51.3063
"2016-01-02",60.4924
"2016-01-03",56.6796
"2016-01-04",55.764
"2016-01-05",52.7027
"2016-01-06",47.6181
"2016-01-07",50.3211
"2016-01-08",56.6269
"2016-01-09",49.4388
"2016-01-10",56.9856
"2016-01-11",60.683
"2016-01-12",62.9092
"2016-01-13",61.8526
"2016-01-14",58.8875
"2016-01-15",63.7486
"2016-01-16",61.1389
"2016-01-17",59.8231
"2016-01-18",65.3362
"2016-01-19",60.6495
"2016-01-20",65.5824
"2016-01-21",66.9148
"2016-01-22",57.5222
"2016-01-23",57.8815
"2016-01-24",55.9
"2016-01-25",61.2669
"2016-01-26",64.425
"2016-01-27",68.9202
"2016-01-28",67.1742
"2016-01-29",67.0681
"2016-01-30",54.0021
"2016-01-31",58.9336
"2016-02-01",75.2234
"2016-02-02",67.6296
"2016-02-03",75.5654
"2016-02-04",72.9916
"2016-02-05",66.8761
"2016-02-06",72.2959
"2016-02-07",72.2194
"2016-02-08",75.5422
"2016-02-09",73.4063
"2016-02-10",68.8748
"2016-02-11",66.7632
"2016-02-12",77.1818
"2016-02-13",79.5601
"2016-02-14",82.9706
"2016-02-15",81.1569
"2016-02-16",70.0452
"2016-02-17",64.5339
"2016-02-18",65.0804
"2016-02-19",63.3409
"2016-02-20",69.2683
"2016-02-21",74.0413
"2016-02-22",65.0655
"2016-02-23",60.4238
"2016-02-24",67.6663
"2016-02-25",66.0124
"2016-02-26",68.3442
"2016-02-27",65.7833
"2016-02-28",67.8056
"2016-02-29",67.4053
"2016-03-01",80.155
"2016-03-02",78.697
"2016-03-03",71.5086
"2016-03-04",65.3337
"2016-03-05",59.9448
"2016-03-06",62.0512
"2016-03-07",51.0184
"2016-03-08",63.9792
"2016-03-09",70.662
"2016-03-10",72.0014
"2016-03-11",55.7112
"2016-03-12",60.6976
"2016-03-13",55.8648
"2016-03-14",59.562
"2016-03-15",66.789
"2016-03-16",74.7612
"2016-03-17",81.0673
"2016-03-18",76.476
"2016-03-19",75.0727
"2016-03-20",72.8274
"2016-03-21",63.8935
"2016-03-22",59.1544
"2016-03-23",66.2045
"2016-03-24",71.8407
"2016-03-25",72.3144
"2016-03-26",73.4837
"2016-03-27",72.5729
"2016-03-28",55.4115
