," Short Term Drought Blend (gridMET Drought) at Lands, 2006-12-01 to 2021-09-30"
"2021-01-10",-1.3502
"2021-01-15",-1.4085
"2021-01-20",-1.6072
"2021-01-25",-1.565
"2021-01-30",0.2168
"2021-02-04",0.1659
"2021-02-09",0.1585
"2021-02-14",0.213
"2021-02-19",0.0881
"2021-02-24",-0.0068
"2021-03-01",-1.2868
"2021-03-06",-1.3698
"2021-03-11",-1.0252
"2021-03-16",-1.1035
"2021-03-21",-0.823
"2021-03-26",-0.7977
"2021-03-31",-0.7789
"2021-04-05",-0.6589
"2021-04-10",-0.857
"2021-04-15",-0.9451
"2021-04-20",-1.2725
"2021-04-25",-1.2936
"2021-04-30",-1.674
"2021-05-05",-1.6003
"2021-05-10",-1.5483
"2021-05-15",-1.5321
"2021-05-20",-1.3386
"2021-05-25",-1.3013
"2021-05-30",-1.1946
"2021-06-04",-1.1149
"2021-06-09",-1.1537
"2021-06-14",-1.0902
"2021-06-19",-1.2162
"2021-06-24",-1.1042
"2021-06-29",-0.949
"2021-07-04",-0.9091
"2021-07-09",-0.7453
"2021-07-14",-0.7332
"2021-07-19",-0.6419
"2021-07-24",-0.673
"2021-07-29",-0.5461
"2021-08-03",-0.4923
"2021-08-08",-0.43
"2021-08-13",-0.4364
"2021-08-18",-0.3577
"2021-08-23",-0.2848
"2021-08-28",-0.2201
"2021-09-02",-0.2422
"2021-09-07",-0.2292
"2021-09-12",-0.2437
"2021-09-17",-0.3225
"2021-09-22",-0.4482
"2021-09-27",-0.5308
