ID,Year,SurveyDate,TerritoryName,IsProtocolSurvey,ObservationID,Analysis Type,Sample Qualifier,BreedingStatus,StartTime,EndTime,CommonName,AdultCount,FledglingCount,NestlingCount,OtherCount,EggCountCode,IsTerritorialBehavior,Summary,NestCode,TerritoryNestID,varObject,VarFilter,Detection,JulianDay,Area_Type,BreedingYear,DaySinceDec15th
14087,2021,2021-03-04,South Wilderness Rock,TRUE,21647,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T14:15:00Z,1899-12-31T17:20:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at S. Wild. Rock.,"NA",431,frmSurveyDetail,[ID] = 14087,0,63,Non-core,2021,80
14090,2021,2021-03-07,Drywall,TRUE,21651,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T12:20:00Z,1899-12-31T16:45:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA ad pr active at Drywall, call, circle, M ad brings rodent prey to F, F inspects small canyon at NW side of Drywall, later cavity at SE summit, eats prey form earlier, M copulates w/ F.","NA",567,frmSurveyDetail,[ID] = 14090,1,66,Non-core,2021,83
14103,2021,2021-03-12,Pig Canyon,TRUE,21670,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T13:20:00Z,1899-12-31T17:50:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Pig Canyon.,"NA",477,frmSurveyDetail,[ID] = 14103,0,71,Non-core,2021,88
14107,2021,2021-03-13,Willow Spring Slide,TRUE,21676,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T12:45:00Z,1899-12-31T14:50:00Z,Prairie Falcon,3,0,0,NA,NA,Yes,"PRFA ad pr active at WSS, defending slide wall from 3rd PRFA ad with multiple chases/escorts of intruder out of territory, inspect WSS-2 or near site, M ad caches prey, brief copulation.","NA",561,frmSurveyDetail,[ID] = 14107,1,72,Non-core,2021,89
14114,2021,2021-03-16,Citadel,TRUE,21685,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T16:10:00Z,1899-12-31T18:50:00Z,Prairie Falcon,1,0,0,NA,NA,Yes,"PRFA ad F perches on rock outcrop upslope of Hummingbird Spire, later perches on rock mass just S of CI-1 at Citadel, later perches on rock mass upslope SE of Hummingbird Spire, scans area.","NA",429,frmSurveyDetail,[ID] = 14114,1,75,Core,2021,92
14114,2021,2021-03-16,General Balconies,TRUE,21691,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T15:45:00Z,1899-12-31T18:50:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at General Balconies.,"NA",523,frmSurveyDetail,[ID] = 14114,0,75,Core,2021,92
14114,2021,2021-03-16,Machete Ridge,TRUE,21690,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T15:45:00Z,1899-12-31T18:50:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Machete.,"NA",571,frmSurveyDetail,[ID] = 14114,0,75,Core,2021,92
14114,2021,2021-03-16,South Balconies,TRUE,21687,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T17:11:00Z,1899-12-31T17:25:00Z,Prairie Falcon,1,0,0,NA,NA,Yes,"PRFA F ad perches atop SW end summit at S. Balconies, scans area.","NA",415,frmSurveyDetail,[ID] = 14114,1,75,Core,2021,92
14116,2021,2021-03-15,Neglected Valley,TRUE,21694,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T11:00:00Z,1899-12-31T14:30:00Z,Prairie Falcon,0,0,0,0,NA,No,No sign of PRFA presence / activity at Neglected Valley.,"NA",527,frmSurveyDetail,[ID] = 14116,0,74,Core,2021,91
14116,2021,2021-03-15,Prescribed Burn Cliffs,TRUE,21693,Occupancy,Yes: Raptor status confirmed,Occupancy,1899-12-31T11:00:00Z,1899-12-31T14:30:00Z,Prairie Falcon,1,0,0,NA,NA,Yes,"PRFA M ad perches at and near PB-3, inspects site and scans area.","NA",563,frmSurveyDetail,[ID] = 14116,1,74,Core,2021,91
