Users of this data file should acknowledge the National Park Service.
NOTE: There are two parts to this file. Part I contains information on the sites selected.
Part II contains the actual data and begins on line 9.

Part I - Site Information
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME
PINN-ES,06-069-0003,PST,121.1556,36.4850,335,Pinnacles National Park - SW of East Entrance Stn.

Part II - Data. NOTE: Monthly totals are labled as the first day of the month
ABBR,DATE_TIME,RNF_MM,
PINN-ES,12/1/2011 12:00:00 AM,6.7,
PINN-ES,1/1/2012 12:00:00 AM,39.5,
PINN-ES,2/1/2012 12:00:00 AM,28,
PINN-ES,3/1/2012 12:00:00 AM,88.9,
PINN-ES,4/1/2012 12:00:00 AM,55.7,
PINN-ES,5/1/2012 12:00:00 AM,1.6,
PINN-ES,6/1/2012 12:00:00 AM,1.6,
PINN-ES,7/1/2012 12:00:00 AM,0,
PINN-ES,8/1/2012 12:00:00 AM,0,
PINN-ES,9/1/2012 12:00:00 AM,0,
PINN-ES,10/1/2012 12:00:00 AM,6.1,
PINN-ES,11/1/2012 12:00:00 AM,81.5,
PINN-ES,12/1/2012 12:00:00 AM,99.1,
PINN-ES,1/1/2013 12:00:00 AM,16.6,
PINN-ES,2/1/2013 12:00:00 AM,10.4,
PINN-ES,3/1/2013 12:00:00 AM,8.2,
PINN-ES,4/1/2013 12:00:00 AM,3.3,
PINN-ES,5/1/2013 12:00:00 AM,0,
PINN-ES,6/1/2013 12:00:00 AM,0,
PINN-ES,7/1/2013 12:00:00 AM,0,
PINN-ES,8/1/2013 12:00:00 AM,0,
PINN-ES,9/1/2013 12:00:00 AM,0.1,
PINN-ES,10/1/2013 12:00:00 AM,3.9,
PINN-ES,11/1/2013 12:00:00 AM,6.7,
PINN-ES,12/1/2013 12:00:00 AM,5.4,
PINN-ES,1/1/2014 12:00:00 AM,1.8,
PINN-ES,2/1/2014 12:00:00 AM,83.6,
PINN-ES,3/1/2014 12:00:00 AM,47.1,
PINN-ES,4/1/2014 12:00:00 AM,24.3,
PINN-ES,5/1/2014 12:00:00 AM,0,
PINN-ES,6/1/2014 12:00:00 AM,0,
PINN-ES,7/1/2014 12:00:00 AM,0,
PINN-ES,8/1/2014 12:00:00 AM,0,
PINN-ES,9/1/2014 12:00:00 AM,0,
PINN-ES,10/1/2014 12:00:00 AM,27.1,
PINN-ES,11/1/2014 12:00:00 AM,20.3,
PINN-ES,12/1/2014 12:00:00 AM,129.9,
PINN-ES,1/1/2015 12:00:00 AM,0.8,
PINN-ES,2/1/2015 12:00:00 AM,32.6,
PINN-ES,3/1/2015 12:00:00 AM,4.8,
PINN-ES,4/1/2015 12:00:00 AM,24.7,
PINN-ES,5/1/2015 12:00:00 AM,13.7,
PINN-ES,6/1/2015 12:00:00 AM,0,
PINN-ES,7/1/2015 12:00:00 AM,0,
PINN-ES,8/1/2015 12:00:00 AM,0,
PINN-ES,9/1/2015 12:00:00 AM,0.2,
PINN-ES,10/1/2015 12:00:00 AM,7,
PINN-ES,11/1/2015 12:00:00 AM,66.2,
PINN-ES,12/1/2015 12:00:00 AM,58.3,
PINN-ES,1/1/2016 12:00:00 AM,129.6,
PINN-ES,2/1/2016 12:00:00 AM,13.3,
PINN-ES,3/1/2016 12:00:00 AM,92.3,
PINN-ES,4/1/2016 12:00:00 AM,13.9,
PINN-ES,5/1/2016 12:00:00 AM,6.8,
PINN-ES,6/1/2016 12:00:00 AM,0,
PINN-ES,7/1/2016 12:00:00 AM,0,
PINN-ES,8/1/2016 12:00:00 AM,0,
PINN-ES,9/1/2016 12:00:00 AM,0,
PINN-ES,10/1/2016 12:00:00 AM,53.1,
PINN-ES,11/1/2016 12:00:00 AM,27.3,
PINN-ES,12/1/2016 12:00:00 AM,36.1,
PINN-ES,1/1/2017 12:00:00 AM,185,
PINN-ES,2/1/2017 12:00:00 AM,121.7,
PINN-ES,3/1/2017 12:00:00 AM,38.4,
PINN-ES,4/1/2017 12:00:00 AM,25.4,
PINN-ES,5/1/2017 12:00:00 AM,3.2,
PINN-ES,6/1/2017 12:00:00 AM,0.8,
PINN-ES,7/1/2017 12:00:00 AM,0,
PINN-ES,8/1/2017 12:00:00 AM,0,
PINN-ES,9/1/2017 12:00:00 AM,0,
PINN-ES,10/1/2017 12:00:00 AM,1.9,
PINN-ES,11/1/2017 12:00:00 AM,19.4,
PINN-ES,12/1/2017 12:00:00 AM,0.6,
PINN-ES,1/1/2018 12:00:00 AM,81.2,
PINN-ES,2/1/2018 12:00:00 AM,4.6,
PINN-ES,3/1/2018 12:00:00 AM,120.1,
PINN-ES,4/1/2018 12:00:00 AM,14.4,
PINN-ES,5/1/2018 12:00:00 AM,0,
PINN-ES,6/1/2018 12:00:00 AM,0,
PINN-ES,7/1/2018 12:00:00 AM,0,
PINN-ES,8/1/2018 12:00:00 AM,0,
PINN-ES,9/1/2018 12:00:00 AM,0,
PINN-ES,10/1/2018 12:00:00 AM,0.6,
PINN-ES,11/1/2018 12:00:00 AM,82.8,
PINN-ES,12/1/2018 12:00:00 AM,51.8,
